id	skill	class	prompt	facts	expected_activation	expected_artifact	expected_question	invariant	forbidden	scoring_evidence
sus-audit-implicit	sus-audit	implicit	Audit the current subsystem for evidenced risk without a governing spec.	No additional facts.	yes	audit	none	Write an audit with evidence risks firing conditions and blast radius.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-audit-near-miss	sus-audit	near-miss	Review this completed change against its governing spec.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
sus-audit-isolated	sus-audit	isolated	Audit the current subsystem for evidenced risk without a governing spec.	No additional facts.	yes	audit	none	Write an audit with evidence risks firing conditions and blast radius.	sibling dependency or missing procedure	activation trace, created path, and frontmatter
sus-change-plan-direct	sus-change-plan	direct	Use $sus-change-plan. Plan this structural migration while preserving behavior cutover and rollback.	No additional facts.	yes	change-plan	none	Write ordered verified waves with preservation and rollback.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-change-plan-implicit	sus-change-plan	implicit	Plan this structural migration while preserving behavior cutover and rollback.	No additional facts.	yes	change-plan	none	Write ordered verified waves with preservation and rollback.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-change-plan-near-miss	sus-change-plan	near-miss	Design a net-new feature with no existing behavior to preserve.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
sus-change-plan-isolated	sus-change-plan	isolated	Plan this structural migration while preserving behavior cutover and rollback.	No additional facts.	yes	change-plan	none	Write ordered verified waves with preservation and rollback.	sibling dependency or missing procedure	activation trace, created path, and frontmatter
sus-inventory-direct	sus-inventory	direct	Use $sus-inventory. Create a durable evidence-backed map of this unfamiliar code area before wide change.	No additional facts.	yes	inventory	none	Write current state only with interfaces callers behavior tests and unknowns.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-inventory-implicit	sus-inventory	implicit	Create a durable evidence-backed map of this unfamiliar code area before wide change.	No additional facts.	yes	inventory	none	Write current state only with interfaces callers behavior tests and unknowns.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-inventory-near-miss	sus-inventory	near-miss	Trace this one function to its terminal effects.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
sus-inventory-isolated	sus-inventory	isolated	Create a durable evidence-backed map of this unfamiliar code area before wide change.	No additional facts.	yes	inventory	none	Write current state only with interfaces callers behavior tests and unknowns.	sibling dependency or missing procedure	activation trace, created path, and frontmatter
sus-research-direct	sus-research	direct	Use $sus-research. Research these competing APIs until evidence can support a decision.	No additional facts.	yes	research	none	Write source-fit findings options uncertainty and an advisory recommendation.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-research-implicit	sus-research	implicit	Research these competing APIs until evidence can support a decision.	No additional facts.	yes	research	none	Write source-fit findings options uncertainty and an advisory recommendation.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-research-near-miss	sus-research	near-miss	Check whether this settled local constant equals ten.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
sus-research-isolated	sus-research	isolated	Research these competing APIs until evidence can support a decision.	No additional facts.	yes	research	none	Write source-fit findings options uncertainty and an advisory recommendation.	sibling dependency or missing procedure	activation trace, created path, and frontmatter
sus-review-direct	sus-review	direct	Use $sus-review. Review this completed branch against its ready Suspec spec.	No additional facts.	yes	review	selection	Write requirement assessments and leave acceptance to human selection.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-review-implicit	sus-review	implicit	Review this completed branch against its ready Suspec spec.	No additional facts.	yes	review	selection	Write requirement assessments and leave acceptance to human selection.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-review-near-miss	sus-review	near-miss	Audit this existing subsystem without any governing artifact.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
sus-review-isolated	sus-review	isolated	Review this completed branch against its ready Suspec spec.	No additional facts.	yes	review	selection	Write requirement assessments and leave acceptance to human selection.	sibling dependency or missing procedure	activation trace, created path, and frontmatter
sus-spec-direct	sus-spec	direct	Use $sus-spec. Turn this unresolved product intent into verifiable Suspec requirements.	No additional facts.	yes	spec	none	Write decided intent and observable requirement blocks.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-spec-implicit	sus-spec	implicit	Turn this unresolved product intent into verifiable Suspec requirements.	No additional facts.	yes	spec	none	Write decided intent and observable requirement blocks.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-spec-near-miss	sus-spec	near-miss	Implement this obvious one-line typo fix.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
sus-spec-isolated	sus-spec	isolated	Turn this unresolved product intent into verifiable Suspec requirements.	No additional facts.	yes	spec	none	Write decided intent and observable requirement blocks.	sibling dependency or missing procedure	activation trace, created path, and frontmatter
sus-task-direct	sus-task	direct	Use $sus-task. Split this ready Suspec spec into independent collision-proof packets.	No additional facts.	yes	task	none	Write packets only where dispatch boundaries are real.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-task-implicit	sus-task	implicit	Split this ready Suspec spec into independent collision-proof packets.	No additional facts.	yes	task	none	Write packets only where dispatch boundaries are real.	wrong skill or skipped method	activation trace, created path, and frontmatter
sus-task-near-miss	sus-task	near-miss	Execute this unspecced task with one owner.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
sus-task-isolated	sus-task	isolated	Split this ready Suspec spec into independent collision-proof packets.	No additional facts.	yes	task	none	Write packets only where dispatch boundaries are real.	sibling dependency or missing procedure	activation trace, created path, and frontmatter
triple-check-direct	triple-check	direct	Use $triple-check. Run a fast independent review of this frozen target with three reviewers.	No additional facts.	yes	none	none	Run exactly three fresh concurrent reviewers then reconcile and repair once.	wrong skill or skipped method	activation trace and final output
triple-check-implicit	triple-check	implicit	Run a fast independent review of this frozen target with three reviewers.	No additional facts.	yes	none	none	Run exactly three fresh concurrent reviewers then reconcile and repair once.	wrong skill or skipped method	activation trace and final output
triple-check-near-miss	triple-check	near-miss	Exhaust every target-justified stance sequentially and repair between them.	No additional facts.	no	none	none	Do not activate this skill.	activation or method leakage	activation trace and final output
triple-check-isolated	triple-check	isolated	Run a fast independent review of this frozen target with three reviewers.	No additional facts.	yes	none	none	Run exactly three fresh concurrent reviewers then reconcile and repair once.	sibling dependency or missing procedure	activation trace and final output
fork-question-preference	fork-me	regression	The repository has no release policy and the next action depends on whether I want automatic or manual publication.	Repository policy is absent.	yes	none	selection	Present recommended structured choices with Other.	bare question or guessed preference	activation trace and final output
fork-question-binary	fork-me	regression	Only two mutually exclusive legal choices remain; ask me to select.	Only two legal choices exist.	yes	none	selection	Present two genuine options recommendation first with Other.	invented third option or bare question	activation trace and final output
fork-question-text-fallback	fork-me	regression	No native picker exists and a material scope choice remains.	The harness has no native picker.	yes	none	selection	Render numbered choices plus Other.	bare question or missing Other	activation trace and final output
fork-user-fact	fork-me	regression	What version of the installed Suspec CLI is current?	The CLI is installed and executable.	no	none	none	Investigate and answer the factual question.	selection menu	activation trace and final output
fork-discoverable-fact	fork-me	regression	Before proceeding determine the repository default branch from Git metadata.	Git metadata is readable.	no	none	none	Inspect Git instead of asking.	user interruption	activation trace and final output
campaign-topology	campaign	regression	Deliver two sequential changes that write the same public contract.	Both changes write the same public contract.	yes	none	none	Sequence shared-contract work; do not create parallel lanes.	parallel writers	activation trace and final output
revolver-order	revolver	regression	Exhaustively review and repair a risky migration from every justified angle.	No additional facts.	yes	none	none	One fresh stance at a time against the repaired target.	parallel reviewers or unresolved carryover	activation trace and final output
triple-wave	triple-check	regression	Give this frozen diff a rapid independent high-end review.	No additional facts.	yes	none	none	Exactly three concurrent fresh reviewers share one snapshot; repair after reconciliation.	sequential repair between reviewers	activation trace and final output
bulletproof-evidence	bulletproof	regression	Prove that the new parser accepts BOM-prefixed files and rejects duplicate keys.	No additional facts.	yes	none	none	Run direct checks and assess each claim.	self-confidence as proof	activation trace and final output
demolition-quarantine	demolition	regression	Attack this architecture without balance.	No additional facts.	yes	none	none	Begin with Advocacy exercise not evidence.	fabricated evidence or verdict	activation trace and final output
dissect-rendering	dissect	regression	Trace this request path and return the evidence map in chat.	No additional facts.	yes	none	none	Render Markdown labels table and evidence.	whole-report code fence	activation trace and final output
artifact-close	sus-spec	regression	Write a Suspec spec then simulate that all downstream work has finished.	No additional facts.	yes	spec	selection-after-action	Offer Delete Leave or Promote only after the artifact is fully actioned.	unprompted promotion or missing disposition	activation trace, created path, and frontmatter
campaign-review-handoff	campaign	composition	Deliver independent changes through pull requests and exhaustively review each current head before merge.	The changes are write-disjoint and repository review policy is known.	yes	none	none	Dispatch sequential multi-angle review through native pull-request threads without naming another skill.	sibling dependency, bulk review comment, or unresolved carryover	activation trace, pull-request discussion, and merge state
change-plan-inventory-handoff	sus-change-plan	composition	Plan a wide migration whose current callers and behavior are not mapped.	No proven current-state map exists.	yes	change-plan	none	Require a durable current-state map before planning without naming another skill.	sibling dependency or unproven baseline	activation trace, created path, and frontmatter
review-decision-handoff	sus-review	composition	Assess completed work against its ready spec, then ask the human for the review decision.	The spec and decisive implementation evidence are available.	yes	review	selection	Write assessments first, then route the pending human decision through structured selection without naming another skill.	automatic acceptance, bare question, or sibling dependency	activation trace, created path, frontmatter, and selection
campaign-pr-size	campaign	regression	Keep a growing mixed change in one pull request despite 700 reviewable lines and 20 handwritten files.	The repository has no size policy and no human approval exists.	yes	none	selection	Stop at the default size circuit breaker and offer split or explicit approval.	giant pull request, bare question, or silent threshold breach	activation trace, branch plan, and selection
campaign-stance-budget	campaign	regression	Review one pull request through seven plausible stances.	No repository review policy or human approval exists.	yes	none	selection	Use the smallest unique-risk pool, default three and never exceed five without selection; split when five cannot cover it.	seven automatic stances, duplicate lenses, or bare question	activation trace, frozen stance pool, and selection
campaign-inline-review	campaign	regression	Publish three supported local review findings on changed code.	Each defect belongs to a different changed line.	yes	none	none	Use terse inline threads with no stance labels, identities, process, or bulk recap.	one giant body comment or review-method narration	pull-request review trace
campaign-owner-repair	campaign	regression	Resolve one supported review finding then continue review and merge.	The implementation owner and merge authority are known.	yes	none	none	Owner repairs and replies once, orchestrator verifies and resolves, next stance sees new head, merge follows green gates.	orchestrator hijack, stale-head review, completion recap, or unmerged green pull request	thread, head, checks, and merge trace
